,0
Proton_Density_mean,0.0
Proton_Density_max,0.0
Proton_Density_std,0.0
Proton_Density_MA_mean,0.0
Proton_Density_MA_max,0.0
Proton_Density_MA_std,0.0
Proton_Density_SpikeAboveMA_mean,0.0
Proton_Density_SpikeAboveMA_max,0.0
Proton_Density_SpikeAboveMA_std,0.0
Proton_Density_Diff_mean,0.0
Proton_Density_Diff_max,0.0
Proton_Density_Diff_std,0.0
Proton_Speed_mean,0.0
Proton_Speed_max,0.0
Proton_Speed_std,0.0
Proton_Speed_MA_mean,0.0
Proton_Speed_MA_max,0.0
Proton_Speed_MA_std,0.0
Proton_Speed_SpikeAboveMA_mean,0.0
Proton_Speed_SpikeAboveMA_max,0.0
Proton_Speed_SpikeAboveMA_std,0.0
Proton_Speed_Diff_mean,0.0
Proton_Speed_Diff_max,0.0
Proton_Speed_Diff_std,0.0
Proton_Temperature_mean,0.0
Proton_Temperature_max,0.0
Proton_Temperature_std,0.0
Proton_Temperature_MA_mean,0.0
Proton_Temperature_MA_max,0.0
Proton_Temperature_MA_std,0.0
Proton_Temperature_SpikeAboveMA_mean,0.0
Proton_Temperature_SpikeAboveMA_max,0.0
Proton_Temperature_SpikeAboveMA_std,0.0
Proton_Temperature_Diff_mean,0.0
Proton_Temperature_Diff_max,0.0
Proton_Temperature_Diff_std,0.0
Alpha_Density_mean,0.0
Alpha_Density_max,0.0
Alpha_Density_std,0.0
Alpha_Density_MA_mean,0.0
Alpha_Density_MA_max,0.0
Alpha_Density_MA_std,0.0
Alpha_Density_SpikeAboveMA_mean,0.0
Alpha_Density_SpikeAboveMA_max,0.0
Alpha_Density_SpikeAboveMA_std,0.0
Alpha_Density_Diff_mean,0.0
Alpha_Density_Diff_max,0.0
Alpha_Density_Diff_std,0.0
Alpha_Speed_mean,0.0
Alpha_Speed_max,0.0
Alpha_Speed_std,0.0
Alpha_Speed_MA_mean,0.0
Alpha_Speed_MA_max,0.0
Alpha_Speed_MA_std,0.0
Alpha_Speed_SpikeAboveMA_mean,0.0
Alpha_Speed_SpikeAboveMA_max,0.0
Alpha_Speed_SpikeAboveMA_std,0.0
Alpha_Speed_Diff_mean,0.0
Alpha_Speed_Diff_max,0.0
Alpha_Speed_Diff_std,0.0
Alpha_Temperature_mean,0.0
Alpha_Temperature_max,0.0
Alpha_Temperature_std,0.0
Alpha_Temperature_MA_mean,0.0
Alpha_Temperature_MA_max,0.0
Alpha_Temperature_MA_std,0.0
Alpha_Temperature_SpikeAboveMA_mean,0.0
Alpha_Temperature_SpikeAboveMA_max,0.0
Alpha_Temperature_SpikeAboveMA_std,0.0
Alpha_Temperature_Diff_mean,0.0
Alpha_Temperature_Diff_max,0.0
Alpha_Temperature_Diff_std,0.0
Velocity_Magnitude_mean,0.0
Velocity_Magnitude_max,0.0
Velocity_Magnitude_std,0.0
Velocity_Magnitude_MA_mean,0.0
Velocity_Magnitude_MA_max,0.0
Velocity_Magnitude_MA_std,0.0
Velocity_Magnitude_SpikeAboveMA_mean,0.0
Velocity_Magnitude_SpikeAboveMA_max,0.0
Velocity_Magnitude_SpikeAboveMA_std,0.0
Velocity_Magnitude_Diff_mean,0.0
Velocity_Magnitude_Diff_max,0.0
Velocity_Magnitude_Diff_std,0.0
He_H_Ratio_mean,0.0
He_H_Ratio_max,0.0
He_H_Ratio_std,0.0
He_H_Ratio_MA_mean,0.0
He_H_Ratio_MA_max,0.0
He_H_Ratio_MA_std,0.0
He_H_Ratio_SpikeAboveMA_mean,0.0
He_H_Ratio_SpikeAboveMA_max,0.0
He_H_Ratio_SpikeAboveMA_std,0.0
He_H_Ratio_Diff_mean,0.0
He_H_Ratio_Diff_max,0.0
He_H_Ratio_Diff_std,0.0
